#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,YEAR
2023-24,,,,,,,,,,,,,,,,,,,,,,,
32,DeMar DeRozan,CHI,13,35.4,21.5,7.5,17.0,44.3,0.8,2.3,36.7,5.5,6.8,80.9,1.1,2.1,3.2,4.3,1.1,0.9,1.2,19.0,2023-24
33,Dejounte Murray,ATL,12,34.5,21.3,8.0,16.5,48.5,2.3,5.8,39.1,3.0,3.7,81.8,0.5,3.8,4.3,5.4,1.4,0.3,2.6,21.0,2023-24
34,Cade Cunningham,DET,13,36.1,21.2,8.1,20.0,40.4,1.8,6.2,29.6,3.2,3.7,87.5,0.5,3.2,3.7,7.4,0.7,0.2,4.9,15.9,2023-24
35,Kawhi Leonard,LAC,11,34.2,21.0,7.7,16.7,46.2,2.5,5.9,43.1,3.0,3.8,78.6,1.1,4.4,5.5,3.5,2.0,0.5,1.8,20.8,2023-24
36,Mikal Bridges,BKN,12,34.4,20.5,7.5,16.6,45.2,1.9,6.5,29.5,3.6,4.3,84.3,1.3,4.9,6.3,3.8,1.2,0.4,2.5,19.9,2023-24
37,Scottie Barnes,TOR,12,35.4,20.3,7.7,16.3,46.9,1.9,5.2,37.1,3.1,4.1,75.5,2.8,6.3,9.1,5.8,1.6,1.6,2.4,26.3,2023-24
37,Tobias Harris,PHI,12,36.8,20.3,7.8,13.7,57.3,1.3,3.2,39.5,3.4,3.8,89.1,1.0,5.9,6.9,2.9,0.8,0.4,1.9,23.3,2023-24
39,Jaren Jackson Jr.,MEM,12,30.4,20.0,6.8,15.7,43.1,1.7,5.3,31.3,4.8,5.8,84.1,1.8,4.2,6.0,2.1,0.4,1.7,1.8,18.5,2023-24
40,Domantas Sabonis,SAC,11,35.2,19.8,7.6,12.5,60.9,0.5,1.3,42.9,4.0,6.3,63.8,3.6,9.3,12.9,7.3,1.0,1.0,3.6,31.2,2023-24
41,Alperen Sengun,HOU,10,31.7,19.8,8.3,14.3,58.0,0.6,2.1,28.6,2.6,4.1,63.4,2.5,5.7,8.2,5.8,1.0,0.4,2.5,25.2,2023-24
42,Julius Randle,NYK,13,34.8,19.4,6.7,17.7,37.8,1.8,6.2,28.4,4.2,6.3,67.1,2.0,7.7,9.7,5.6,0.9,0.2,3.2,19.5,2023-24
43,Jordan Clarkson,UTA,12,31.8,19.3,7.2,16.4,43.7,2.0,5.9,33.8,3.0,3.5,85.7,1.4,1.9,3.3,4.8,0.9,0.2,3.2,15.6,2023-24
44,Victor Wembanyama,SAS,13,30.2,19.3,7.2,16.8,42.9,1.6,5.7,28.4,3.2,4.2,77.8,2.2,7.4,9.5,2.4,1.1,2.6,3.8,20.6,2023-24
45,Kristaps Porzingis,BOS,11,30.6,19.2,6.5,11.6,55.5,1.8,4.7,38.5,4.5,5.3,84.5,1.4,5.4,6.7,2.2,0.5,1.5,1.3,22.7,2023-24
46,Jalen Green,HOU,10,32.2,19.1,5.9,14.7,40.1,1.9,5.1,37.3,5.4,6.8,79.4,0.4,4.2,4.6,2.9,0.6,0.4,2.3,15.1,2023-24
47,Pascal Siakam,TOR,12,34.1,19.1,7.6,15.6,48.7,1.0,4.3,23.5,2.9,4.2,70.0,1.3,5.9,7.2,4.8,0.8,0.2,2.8,19.9,2023-24
48,Shaedon Sharpe,POR,12,38.4,18.6,6.2,15.2,40.7,2.1,6.3,32.9,4.2,5.1,82.0,1.8,3.9,5.8,3.4,0.9,0.6,3.5,15.8,2023-24
49,Tim Hardaway Jr.,DAL,13,27.7,18.5,6.2,14.2,44.0,3.8,9.4,40.2,2.3,2.5,90.9,0.3,3.5,3.8,1.7,0.2,0.0,1.0,15.1,2023-24
50,Franz Wagner,ORL,12,33.7,18.5,6.9,16.6,41.7,1.8,5.8,30.0,2.9,3.5,83.3,1.2,4.3,5.5,3.3,1.1,0.3,2.1,16.3,2023-24
51,D'Angelo Russell,LAL,13,32.6,18.4,6.9,14.4,48.1,2.3,5.9,39.0,2.2,2.8,80.6,0.5,2.8,3.4,6.5,0.4,0.6,1.9,19.4,2023-24
52,Paolo Banchero,ORL,12,33.8,18.3,6.3,14.0,45.2,1.2,3.0,38.9,4.4,6.9,63.9,1.5,5.6,7.1,4.8,1.3,0.4,3.6,18.2,2023-24
53,Caris LeVert,CLE,11,33.1,18.0,6.5,15.4,42.0,1.9,6.1,31.3,3.2,4.4,72.9,0.5,3.8,4.4,3.8,1.3,0.5,1.3,16.5,2023-24
54,Myles Turner,IND,11,26.6,17.9,6.3,12.2,51.5,1.9,4.8,39.6,3.5,4.4,79.2,1.5,6.0,7.5,1.5,0.5,1.7,1.6,20.6,2023-24
55,Jalen Williams,OKC,13,33.2,17.5,6.5,12.6,51.8,1.1,2.9,36.8,3.4,3.8,88.0,0.2,3.8,4.1,3.6,0.8,0.2,2.2,17.6,2023-24
56,Fred VanVleet,HOU,10,36.4,17.4,6.0,15.2,39.5,3.3,8.5,38.8,2.1,2.4,87.5,0.3,3.6,3.9,8.1,0.6,0.4,1.7,19.2,2023-24
57,Chet Holmgren,OKC,13,30.3,17.1,5.9,10.8,54.6,1.6,3.7,43.8,3.6,4.0,90.4,1.6,6.3,7.9,2.8,1.0,2.2,2.3,23.3,2023-24
58,Nikola Vucevic,CHI,14,34.4,16.9,7.3,15.6,46.6,0.9,3.5,26.5,1.4,1.7,79.2,2.9,7.6,10.5,2.9,0.9,0.6,1.9,21.2,2023-24
59,Evan Mobley,CLE,12,32.9,16.7,6.9,12.7,54.6,0.1,0.6,14.3,2.8,3.8,71.7,3.2,7.3,10.4,3.1,0.8,1.8,2.1,23.8,2023-24
60,Michael Porter Jr.,DEN,12,30.3,16.4,6.5,13.7,47.6,2.6,7.3,35.2,0.8,1.2,71.4,2.0,6.2,8.2,1.5,0.4,0.8,0.9,18.9,2023-24
61,Keldon Johnson,SAS,12,32.7,16.3,6.3,13.8,45.2,2.1,5.6,37.3,1.8,2.5,70.0,0.7,5.4,6.1,4.3,0.8,0.3,1.3,18.2,2023-24
62,Lonnie Walker IV,BKN,11,21.6,15.7,5.8,11.5,50.8,2.3,5.2,43.9,1.8,2.4,76.9,0.2,2.7,2.9,2.0,0.7,0.5,1.3,14.4,2023-24
63,Dennis Schroder,TOR,12,31.8,15.5,5.4,12.8,42.5,1.9,5.2,37.1,2.8,3.3,84.6,0.7,2.4,3.1,7.3,1.0,0.2,1.9,17.3,2023-24
2022-23,,,,,,,,,,,,,,,,,,,,,,,
1,Joel Embiid,PHI,66,34.6,33.1,11.0,20.1,54.8,1.0,3.0,33.0,10.0,11.7,85.7,1.7,8.4,10.2,4.2,1.0,1.7,3.4,35.9,2022-23
2,Luka Doncic,DAL,66,36.2,32.4,10.9,22.0,49.6,2.8,8.2,34.2,7.8,10.5,74.2,0.8,7.8,8.6,8.0,1.4,0.5,3.6,33.5,2022-23
3,Damian Lillard,POR,58,36.3,32.2,9.6,20.7,46.3,4.2,11.3,37.1,8.8,9.6,91.4,0.8,4.0,4.8,7.3,0.9,0.3,3.3,30.2,2022-23
4,Shai Gilgeous-Alexander,OKC,68,35.5,31.4,10.4,20.3,51.0,0.9,2.5,34.5,9.8,10.9,90.5,0.9,4.0,4.8,5.5,1.6,1.0,2.8,30.5,2022-23
5,Giannis Antetokounmpo,MIL,63,32.1,31.1,11.2,20.3,55.3,0.7,2.7,27.5,7.9,12.3,64.5,2.2,9.6,11.8,5.7,0.8,0.8,3.9,32.9,2022-23
6,Jayson Tatum,BOS,74,36.9,30.1,9.8,21.1,46.6,3.2,9.3,35.0,7.2,8.4,85.4,1.1,7.7,8.8,4.6,1.1,0.7,2.9,29.9,2022-23
7,Donovan Mitchell,CLE,68,35.8,28.3,10.0,20.6,48.4,3.6,9.3,38.6,4.7,5.4,86.7,0.9,3.3,4.3,4.4,1.5,0.4,2.6,24.8,2022-23
8,Kyrie Irving,DAL,60,37.4,27.1,9.9,20.1,49.4,3.1,8.3,37.9,4.1,4.6,90.5,1.0,4.1,5.1,5.5,1.1,0.8,2.1,26.8,2022-23
9,Jaylen Brown,BOS,67,35.9,26.6,10.1,20.6,49.1,2.4,7.3,33.5,3.9,5.1,76.5,1.2,5.7,6.9,3.5,1.1,0.4,2.9,23.8,2022-23
10,Trae Young,ATL,73,34.8,26.2,8.2,19.0,42.9,2.1,6.3,33.5,7.8,8.8,88.6,0.8,2.2,3.0,10.2,1.1,0.1,4.1,24.6,2022-23
11,Ja Morant,MEM,61,31.9,26.2,9.3,19.9,46.6,1.5,4.9,30.7,6.1,8.1,74.8,1.0,4.9,5.9,8.1,1.1,0.3,3.4,25.4,2022-23
12,Lauri Markkanen,UTA,66,34.4,25.6,8.7,17.3,49.9,3.0,7.7,39.1,5.3,6.0,87.5,2.0,6.7,8.6,1.9,0.6,0.6,1.9,26.0,2022-23
13,Julius Randle,NYK,77,35.5,25.1,8.5,18.6,45.9,2.8,8.3,34.3,5.2,6.9,75.7,1.8,8.1,10.0,4.1,0.6,0.3,2.8,25.6,2022-23
14,De'Aaron Fox,SAC,73,33.4,25.0,9.3,18.2,51.2,1.6,5.0,32.4,4.7,6.0,78.0,0.5,3.6,4.2,6.1,1.1,0.3,2.5,24.1,2022-23
15,Zach LaVine,CHI,77,35.9,24.8,8.7,18.0,48.5,2.6,7.1,37.5,4.7,5.6,84.8,0.5,3.9,4.5,4.2,0.9,0.2,2.5,22.1,2022-23
16,Anthony Edwards,MIN,79,36.0,24.6,8.9,19.5,45.9,2.7,7.3,36.9,4.0,5.3,75.6,0.6,5.2,5.8,4.4,1.6,0.7,3.3,22.0,2022-23
17,DeMar DeRozan,CHI,74,36.2,24.5,8.9,17.6,50.4,0.6,1.9,32.4,6.2,7.1,87.2,0.5,4.2,4.6,5.1,1.1,0.5,2.1,24.2,2022-23
18,Nikola Jokic,DEN,69,33.7,24.5,9.4,14.8,63.2,0.8,2.2,38.3,4.9,6.0,82.2,2.4,9.4,11.8,9.8,1.3,0.7,3.6,38.0,2022-23
19,Pascal Siakam,TOR,71,37.4,24.2,8.9,18.5,48.0,1.3,4.0,32.4,5.2,6.7,77.4,1.8,6.0,7.8,5.8,0.9,0.5,2.4,25.8,2022-23
20,Jalen Brunson,NYK,68,35.0,24.0,8.6,17.6,49.1,2.0,4.7,41.6,4.8,5.8,82.9,0.6,3.0,3.5,6.2,0.9,0.2,2.1,22.9,2022-23
21,Kristaps Porzingis,WAS,65,32.6,23.2,7.8,15.7,49.8,2.1,5.5,38.5,5.4,6.4,85.1,1.8,6.6,8.4,2.7,0.9,1.5,2.1,25.7,2022-23
22,Jimmy Butler,MIA,64,33.4,22.9,7.5,13.9,53.9,0.6,1.6,35.0,7.4,8.7,85.0,2.2,3.7,5.9,5.3,1.8,0.3,1.6,27.0,2022-23
23,Jalen Green,HOU,76,34.2,22.1,7.4,17.9,41.6,2.5,7.3,33.8,4.8,6.1,78.6,0.6,3.2,3.7,3.7,0.8,0.2,2.6,16.2,2022-23
24,Keldon Johnson,SAS,63,32.7,22.0,8.0,17.7,45.2,2.1,6.5,32.9,3.9,5.2,74.9,0.9,4.2,5.0,2.9,0.7,0.2,2.1,17.7,2022-23
25,Klay Thompson,GSW,69,33.0,21.9,7.9,18.1,43.6,4.4,10.6,41.2,1.7,1.9,87.9,0.6,3.6,4.1,2.4,0.7,0.4,1.8,17.3,2022-23
26,Darius Garland,CLE,69,35.5,21.6,7.6,16.4,46.2,2.4,6.0,41.0,4.0,4.7,86.3,0.4,2.3,2.7,7.8,1.2,0.1,2.9,21.1,2022-23
27,Bojan Bogdanovic,DET,59,32.1,21.6,7.3,14.9,48.8,2.5,6.0,41.1,4.5,5.1,88.4,0.6,3.2,3.8,2.6,0.6,0.1,2.3,18.1,2022-23
28,Desmond Bane,MEM,58,31.7,21.5,7.8,16.2,47.9,2.9,7.0,40.8,3.1,3.5,88.3,0.7,4.3,5.0,4.4,1.0,0.4,2.2,21.2,2022-23
29,Kyle Kuzma,WAS,64,35.0,21.2,8.0,17.8,44.8,2.5,7.5,33.3,2.7,3.7,73.0,0.9,6.4,7.2,3.7,0.6,0.5,3.0,19.4,2022-23
30,Terry Rozier,CHA,63,35.3,21.1,7.8,18.9,41.5,2.6,8.0,32.7,2.8,3.5,80.9,0.8,3.3,4.1,5.1,1.2,0.3,2.1,17.9,2022-23
31,Anfernee Simons,POR,62,35.0,21.1,7.5,16.9,44.7,3.4,9.1,37.7,2.6,2.9,89.4,0.3,2.3,2.6,4.1,0.7,0.2,2.1,17.0,2022-23
32,James Harden,PHI,58,36.8,21.0,6.4,14.5,44.1,2.8,7.2,38.5,5.4,6.2,86.7,0.7,5.4,6.1,10.7,1.2,0.5,3.4,27.2,2022-23
33,CJ McCollum,NOP,75,35.3,20.9,7.8,17.9,43.7,2.8,7.2,38.9,2.4,3.2,76.9,0.7,3.6,4.4,5.7,0.9,0.5,2.4,19.2,2022-23
34,Jordan Clarkson,UTA,61,32.6,20.8,7.5,16.9,44.4,2.5,7.5,33.8,3.3,4.0,81.6,1.2,2.9,4.0,4.4,0.5,0.2,3.0,16.9,2022-23
35,Jerami Grant,POR,63,35.7,20.5,6.9,14.5,47.5,2.3,5.7,40.1,4.4,5.4,81.3,0.8,3.7,4.5,2.4,0.8,0.8,1.8,18.5,2022-23
36,Dejounte Murray,ATL,74,36.4,20.5,8.3,17.8,46.4,1.8,5.2,34.4,2.1,2.6,83.2,0.7,4.5,5.3,6.1,1.5,0.3,2.2,21.4,2022-23
37,Jordan Poole,GSW,82,30.0,20.4,6.7,15.6,43.0,2.6,7.8,33.6,4.4,5.1,87.0,0.4,2.4,2.7,4.5,0.8,0.3,3.1,16.1,2022-23
38,Bam Adebayo,MIA,75,34.6,20.4,8.0,14.9,54.0,0.0,0.2,8.3,4.3,5.4,80.6,2.5,6.7,9.2,3.2,1.2,0.8,2.5,24.4,2022-23
39,Tyrese Maxey,PHI,60,33.6,20.3,7.3,15.2,48.1,2.7,6.2,43.4,3.0,3.6,84.5,0.4,2.6,2.9,3.5,0.8,0.1,1.3,17.9,2022-23
40,Mikal Bridges,BKN,83,35.7,20.1,7.1,15.3,46.8,2.0,5.3,38.2,3.8,4.3,89.5,1.0,3.4,4.4,3.3,1.1,0.7,1.5,19.5,2022-23
41,Tyler Herro,MIA,67,34.9,20.1,7.3,16.6,43.9,3.0,8.0,37.8,2.5,2.7,93.4,0.4,5.0,5.4,4.2,0.8,0.2,2.4,18.8,2022-23
42,Jamal Murray,DEN,65,32.8,20.0,7.3,16.0,45.4,2.6,6.6,39.8,2.8,3.3,83.3,0.7,3.2,4.0,6.2,1.0,0.2,2.2,19.8,2022-23
43,Paolo Banchero,ORL,72,33.8,20.0,6.7,15.6,42.7,1.2,4.0,29.8,5.5,7.4,73.8,1.2,5.7,6.9,3.7,0.8,0.5,2.8,18.3,2022-23
44,RJ Barrett,NYK,73,33.9,19.6,7.0,16.1,43.4,1.7,5.3,31.0,4.0,5.4,74.0,0.8,4.2,5.0,2.8,0.4,0.2,2.2,15.3,2022-23
45,Fred VanVleet,TOR,69,36.7,19.3,6.3,16.1,39.3,3.0,8.8,34.2,3.7,4.1,89.8,0.4,3.6,4.1,7.2,1.8,0.6,2.0,20.7,2022-23
46,Jrue Holiday,MIL,67,32.6,19.3,7.3,15.3,47.9,2.4,6.1,38.4,2.3,2.6,85.9,1.2,3.9,5.1,7.4,1.2,0.4,2.9,22.0,2022-23
47,Kevin Porter Jr.,HOU,59,34.3,19.2,6.6,15.0,44.2,2.4,6.5,36.6,3.5,4.5,78.4,1.3,4.0,5.3,5.7,1.4,0.3,3.2,19.4,2022-23
48,Domantas Sabonis,SAC,79,34.6,19.1,7.3,11.9,61.5,0.4,1.1,37.3,4.1,5.5,74.2,3.2,9.1,12.3,7.3,0.8,0.5,2.9,31.1,2022-23
49,Jaren Jackson Jr.,MEM,63,28.4,18.6,6.6,13.0,50.6,1.6,4.5,35.5,3.8,4.9,78.8,1.7,5.0,6.8,1.0,1.0,3.0,1.7,21.2,2022-23
50,Franz Wagner,ORL,80,32.6,18.6,6.8,14.0,48.5,1.6,4.5,36.1,3.4,4.0,84.2,0.9,3.2,4.1,3.5,1.0,0.2,2.1,17.5,2022-23
51,Deandre Ayton,PHX,67,30.4,18.0,7.8,13.2,58.9,0.1,0.4,29.2,2.3,3.0,76.0,2.6,7.4,10.0,1.7,0.6,0.8,1.8,23.0,2022-23
52,Myles Turner,IND,62,29.4,18.0,6.5,11.8,54.8,1.5,4.0,37.3,3.5,4.5,78.3,1.4,6.1,7.5,1.4,0.6,2.3,1.7,21.8,2022-23
53,D'Angelo Russell,LAL,71,32.5,17.8,6.3,13.4,46.9,2.7,6.9,39.6,2.5,3.0,82.9,0.5,2.5,3.0,6.2,1.0,0.4,2.6,18.1,2022-23
54,Nikola Vucevic,CHI,82,33.5,17.6,7.3,14.0,52.0,1.5,4.2,34.9,1.6,1.9,83.5,1.9,9.1,11.0,3.2,0.7,0.7,1.7,24.6,2022-23
55,Michael Porter Jr.,DEN,62,29.0,17.4,6.4,13.2,48.7,3.0,7.3,41.4,1.5,1.9,80.0,1.0,4.5,5.5,1.0,0.6,0.5,1.1,16.8,2022-23
56,Gary Trent Jr.,TOR,66,32.1,17.4,6.1,14.2,43.3,2.5,6.8,36.9,2.6,3.1,83.9,0.5,2.2,2.6,1.6,1.6,0.2,0.8,14.0,2022-23
57,Spencer Dinwiddie,BKN,79,34.5,17.3,5.8,13.3,43.8,2.3,6.2,36.9,3.4,4.2,81.2,0.4,3.1,3.4,6.5,0.8,0.3,1.8,18.3,2022-23
58,Norman Powell,LAC,60,26.1,17.0,5.7,11.8,47.9,1.9,4.8,39.7,3.8,4.6,81.2,0.4,2.5,2.9,1.8,0.8,0.3,1.7,14.1,2022-23
59,Buddy Hield,IND,80,31.0,16.8,5.9,13.0,45.8,3.6,8.5,42.5,1.3,1.6,82.2,0.8,4.2,5.0,2.8,1.2,0.3,1.7,17.0,2022-23
60,OG Anunoby,TOR,67,35.6,16.8,6.3,13.2,47.6,2.1,5.5,38.7,2.1,2.5,83.8,1.4,3.5,5.0,2.0,1.9,0.7,2.0,17.0,2022-23
61,Bennedict Mathurin,IND,78,28.5,16.7,5.3,12.2,43.4,1.3,4.0,32.3,4.8,5.8,82.8,1.1,3.0,4.1,1.5,0.6,0.2,1.9,13.2,2022-23
62,Christian Wood,DAL,67,25.9,16.6,5.9,11.5,51.5,1.6,4.2,37.6,3.2,4.2,77.2,1.3,6.0,7.3,1.8,0.4,1.1,1.8,19.0,2022-23
63,Josh Giddey,OKC,76,31.1,16.6,7.1,14.7,48.2,1.0,3.1,32.5,1.4,1.9,73.1,1.9,5.9,7.9,6.2,0.8,0.4,2.8,20.9,2022-23
64,Aaron Gordon,DEN,68,30.2,16.3,6.3,11.2,56.4,0.9,2.5,34.7,2.8,4.6,60.8,2.4,4.1,6.6,3.0,0.8,0.8,1.4,19.3,2022-23
65,Jaden Ivey,DET,74,31.1,16.3,5.5,13.3,41.6,1.6,4.7,34.3,3.6,4.8,74.7,1.0,2.9,3.9,5.2,0.8,0.2,3.2,14.3,2022-23
66,Evan Mobley,CLE,79,34.4,16.2,6.6,12.0,55.4,0.3,1.3,21.6,2.6,3.8,67.4,2.4,6.6,9.0,2.8,0.8,1.5,1.8,21.8,2022-23
67,Brook Lopez,MIL,78,30.4,15.9,6.1,11.5,53.1,1.7,4.7,37.4,1.9,2.4,78.4,2.0,4.7,6.7,1.3,0.5,2.5,1.4,19.5,2022-23
68,Russell Westbrook,LAC,73,29.1,15.9,5.9,13.6,43.6,1.2,3.9,31.1,2.8,4.3,65.6,1.2,4.6,5.8,7.5,1.0,0.5,3.5,18.1,2022-23
69,P.J. Washington,CHA,73,32.6,15.7,5.9,13.4,44.4,2.0,5.9,34.8,1.7,2.4,73.0,1.0,3.9,4.9,2.4,0.9,1.1,1.5,15.4,2022-23
70,De'Andre Hunter,ATL,67,31.7,15.4,5.7,12.3,46.1,1.5,4.3,35.0,2.6,3.1,82.6,0.7,3.6,4.2,1.4,0.5,0.3,1.2,13.4,2022-23
71,Scottie Barnes,TOR,77,34.8,15.3,6.0,13.2,45.6,0.8,2.9,28.1,2.5,3.2,77.2,2.3,4.3,6.6,4.8,1.1,0.8,2.0,18.7,2022-23
72,Kevin Huerter,SAC,75,29.4,15.2,5.6,11.5,48.5,2.7,6.8,40.2,1.3,1.7,72.5,0.6,2.8,3.3,2.9,1.1,0.3,1.3,15.2,2022-23
73,Harrison Barnes,SAC,82,32.5,15.0,4.6,9.6,47.3,1.6,4.3,37.4,4.3,5.0,84.7,1.1,3.4,4.5,1.6,0.7,0.1,1.0,14.9,2022-23
74,Immanuel Quickley,NYK,81,28.9,14.9,5.2,11.6,44.8,2.1,5.6,37.0,2.5,3.1,81.9,0.7,3.4,4.2,3.4,1.0,0.2,1.2,15.5,2022-23
75,Malcolm Brogdon,BOS,67,26.0,14.9,5.3,10.9,48.4,2.0,4.4,44.4,2.4,2.7,87.0,0.6,3.6,4.2,3.7,0.7,0.3,1.5,16.3,2022-23
76,Alperen Sengun,HOU,75,28.9,14.8,5.9,10.7,55.3,0.3,0.8,33.3,2.7,3.8,71.5,3.2,5.8,9.0,3.9,0.9,0.9,2.6,21.1,2022-23
77,Tobias Harris,PHI,74,32.9,14.7,5.7,11.4,50.1,1.7,4.4,38.9,1.5,1.7,87.6,0.9,4.8,5.7,2.5,0.9,0.5,1.2,17.2,2022-23
