#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,YEAR
2023-24,,,,,,,,,,,,,,,,,,,,,,,
139,Dorian Finney-Smith,BKN,25,29.3,10.3,3.8,8.3,46.4,2.4,5.5,43.5,0.2,0.3,75.0,2.0,3.0,5.0,1.2,0.6,0.6,0.9,12.4,2023-24
140,Jeremy Sochan,SAS,27,29.3,10.3,4.0,9.7,41.6,0.8,2.3,33.9,1.4,1.9,75.0,1.6,4.0,5.6,4.1,0.7,0.3,2.2,12.6,2023-24
141,Derrick Jones Jr.,DAL,26,24.7,10.2,3.7,7.6,48.0,1.6,4.4,36.0,1.3,1.7,76.7,1.2,2.4,3.5,1.1,0.8,0.8,0.8,11.2,2023-24
142,Isaiah Stewart,DET,26,30.4,10.1,3.8,8.2,46.0,1.3,3.5,37.4,1.3,1.7,76.7,1.8,5.2,7.0,1.5,0.3,0.6,1.7,13.0,2023-24
143,Patrick Williams,CHI,30,27.3,10.0,3.7,8.1,45.1,1.4,3.3,41.4,1.3,1.7,74.5,1.2,3.1,4.2,1.4,0.9,0.9,1.1,11.5,2023-24
144,Taurean Prince,LAL,27,30.9,9.9,3.6,8.2,44.3,2.1,5.3,39.2,0.6,0.8,72.7,0.3,2.5,2.8,1.7,0.7,0.4,1.0,9.9,2023-24
145,Ausar Thompson,DET,28,26.7,9.9,4.1,8.8,47.0,0.3,1.9,15.1,1.3,1.9,68.5,2.6,5.3,7.9,2.4,0.9,1.2,1.8,15.1,2023-24
146,Donte DiVincenzo,NYK,27,20.6,9.8,3.3,7.3,45.5,2.4,5.3,44.8,0.8,1.1,72.4,0.7,2.3,3.0,1.8,1.0,0.3,1.0,10.6,2023-24
147,Isaiah Joe,OKC,26,20.5,9.7,3.2,7.2,44.1,2.4,5.6,42.5,1.0,1.2,84.4,0.2,2.1,2.3,1.1,0.8,0.3,0.5,9.6,2023-24
148,Onyeka Okongwu,ATL,27,24.6,9.6,3.7,6.3,58.6,0.4,1.4,29.7,1.9,2.2,85.0,2.4,4.4,6.9,1.4,0.4,0.9,0.7,15.5,2023-24
149,Grant Williams,DAL,24,29.5,9.6,3.3,7.8,42.5,2.1,5.4,39.5,0.9,1.3,65.6,1.3,2.6,3.9,1.7,0.3,0.5,0.8,10.3,2023-24
150,Kevin Love,MIA,21,19.2,9.6,3.0,7.1,42.7,2.0,5.3,36.9,1.5,1.9,82.1,0.9,6.0,6.9,2.5,0.4,0.1,0.7,14.4,2023-24
151,Alex Caruso,CHI,24,23.1,9.5,3.5,6.3,55.3,1.5,3.3,46.8,1.1,1.4,76.5,1.1,2.3,3.4,2.3,1.3,0.8,1.5,12.7,2023-24
152,Kyle Lowry,MIA,26,29.4,9.5,3.2,7.0,45.1,2.1,4.8,44.0,1.1,1.3,82.9,0.7,3.1,3.8,4.2,1.2,0.3,1.3,13.6,2023-24
153,Bilal Coulibaly,WAS,26,26.6,9.2,3.4,6.5,52.4,1.2,3.0,41.6,1.2,1.8,63.8,0.7,3.3,4.0,1.7,1.0,0.7,1.5,11.3,2023-24
154,Killian Hayes,DET,25,26.4,9.1,3.6,8.6,42.5,0.7,2.4,30.5,1.1,1.6,70.0,0.4,2.7,3.1,4.4,1.0,0.6,1.1,11.8,2023-24
155,Malaki Branham,SAS,27,22.5,9.1,3.8,8.4,44.9,1.0,3.3,31.5,0.5,0.6,93.3,0.2,1.7,1.9,2.4,0.4,0.1,1.3,8.0,2023-24
156,Alec Burks,DET,21,17.5,9.0,2.5,7.7,32.9,1.5,4.6,33.3,2.5,2.8,88.1,0.5,1.7,2.1,1.4,0.4,0.2,0.4,7.3,2023-24
157,Sam Hauser,BOS,27,23.0,9.0,3.1,6.7,46.2,2.5,5.8,43.3,0.3,0.4,80.0,0.9,2.6,3.5,1.0,0.6,0.3,0.5,10.1,2023-24
158,Dereck Lively II,DAL,23,25.3,8.9,4.1,5.6,73.4,0.0,0.1,0.0,0.7,1.3,58.6,2.9,4.9,7.7,1.1,0.7,1.6,1.2,16.8,2023-24
159,Simone Fontecchio,UTA,27,21.1,8.8,3.1,7.0,44.1,1.9,4.7,39.7,0.8,0.9,84.0,0.8,2.0,2.9,1.2,0.5,0.4,1.0,8.7,2023-24
160,Walker Kessler,UTA,21,25.1,8.7,3.9,6.7,58.2,0.1,0.6,15.4,0.8,1.5,51.6,3.1,5.2,8.3,0.9,0.4,2.8,1.3,16.2,2023-24
161,Christian Braun,DEN,29,20.2,8.6,3.3,6.9,47.8,0.7,1.8,38.5,1.3,1.7,75.5,0.8,3.0,3.8,1.8,0.4,0.3,0.8,10.1,2023-24
162,Dante Exum,DAL,24,17.4,8.6,3.4,5.9,57.0,0.8,2.0,42.6,1.0,1.4,70.6,0.6,2.3,2.9,2.4,0.5,0.2,0.6,11.0,2023-24
163,Chris Paul,GSW,24,27.5,8.5,3.1,7.8,39.6,1.1,3.6,31.4,1.3,1.4,90.9,0.3,3.4,3.8,7.6,1.3,0.0,1.3,15.1,2023-24
164,Precious Achiuwa,TOR,21,18.4,8.5,3.4,7.2,47.7,0.6,2.0,31.0,1.0,1.7,58.3,2.2,3.8,6.0,2.0,0.6,0.4,1.3,11.7,2023-24
165,Moses Moody,GSW,27,18.8,8.4,3.1,6.5,47.4,1.1,3.1,34.5,1.2,1.6,75.0,1.3,2.1,3.4,1.0,0.7,0.3,0.7,9.3,2023-24
166,Nick Richards,CHA,20,21.1,8.4,3.2,4.5,70.8,0.0,0.0,0.0,2.1,2.6,82.4,2.2,4.4,6.6,0.6,0.4,1.2,1.0,14.4,2023-24
167,Brandin Podziemski,GSW,21,21.5,8.3,3.2,7.1,45.6,1.1,2.9,40.0,0.7,1.1,65.2,1.4,3.5,5.0,2.6,0.8,0.2,1.4,11.2,2023-24
167,Cedi Osman,SAS,27,19.0,8.3,3.1,6.7,46.7,1.3,3.6,36.1,0.8,1.1,73.3,0.4,2.0,2.4,1.8,0.4,0.2,0.7,8.5,2023-24
169,David Roddy,MEM,26,23.8,8.1,3.2,7.8,40.6,1.0,3.5,28.9,0.8,1.1,71.4,1.0,3.2,4.2,1.3,0.7,0.3,1.0,8.7,2023-24
170,Ziaire Williams,MEM,25,20.0,8.0,2.8,7.0,40.3,1.2,3.5,33.0,1.2,1.4,88.2,0.6,3.3,3.9,1.4,0.4,0.3,1.3,8.4,2023-24
171,Georges Niang,CLE,29,22.2,8.0,3.0,7.4,40.3,1.6,4.6,34.1,0.5,0.5,93.3,0.4,3.2,3.6,1.2,0.3,0.1,0.8,7.9,2023-24
172,Tre Jones,SAS,23,23.3,8.0,3.1,6.8,46.2,0.6,2.0,27.7,1.2,1.4,84.4,0.4,2.0,2.5,5.0,0.8,0.2,1.5,11.0,2023-24
173,Kelly Olynyk,UTA,27,22.1,7.9,2.8,5.1,54.7,0.8,1.9,42.3,1.5,1.7,88.9,1.5,4.1,5.6,4.4,0.9,0.3,1.9,14.7,2023-24
174,Marcus Sasser,DET,27,16.9,7.9,3.0,6.2,48.2,1.3,3.0,42.5,0.6,0.7,89.5,0.1,1.6,1.7,2.5,0.7,0.2,0.9,8.9,2023-24
175,Royce O'Neale,BKN,26,27.7,7.8,2.7,7.0,37.7,2.3,5.9,38.3,0.3,0.5,58.3,0.8,4.1,4.9,3.3,0.8,0.8,1.0,12.1,2023-24
176,Josh Hart,NYK,27,27.7,7.8,3.0,6.6,46.1,1.0,2.9,35.9,0.7,0.9,78.3,1.1,4.8,5.9,2.8,0.9,0.3,1.0,12.8,2023-24
177,T.J. McConnell,IND,21,15.3,7.7,3.4,6.5,52.6,0.0,0.5,10.0,0.8,1.0,72.7,0.6,2.2,2.8,4.9,1.0,0.1,1.1,11.9,2023-24
178,Al Horford,BOS,23,26.7,7.7,2.9,6.2,47.2,1.4,3.8,36.4,0.4,0.4,100,1.7,5.4,7.1,2.8,0.4,1.0,1.0,14.8,2023-24
179,Isaiah Jackson,IND,19,14.6,7.5,3.1,4.6,67.0,0.0,0.1,0.0,1.3,1.9,69.4,1.6,2.9,4.5,1.0,0.6,1.5,0.5,12.4,2023-24
180,Goga Bitadze,ORL,24,21.1,7.4,3.0,5.0,59.7,0.0,0.2,20.0,1.4,2.0,70.8,2.3,4.0,6.3,1.8,0.7,1.7,0.8,14.3,2023-24
181,Jabari Walker,POR,27,17.8,7.3,2.7,5.9,46.5,0.5,1.9,27.5,1.3,1.7,76.6,1.7,3.4,5.1,0.7,0.7,0.4,0.9,9.9,2023-24
182,Ayo Dosunmu,CHI,28,21.1,7.3,2.8,5.8,49.1,1.0,2.7,36.8,0.7,0.9,73.1,0.6,1.5,2.1,1.8,0.8,0.3,0.9,8.2,2023-24
183,Cam Reddish,LAL,24,24.8,7.3,2.5,6.3,40.1,0.9,2.8,30.9,1.3,1.5,86.1,0.6,2.1,2.7,1.3,1.5,0.3,0.7,8.4,2023-24
184,Aaron Holiday,HOU,23,18.3,7.2,2.7,5.8,45.5,1.3,3.0,42.9,0.6,0.7,86.7,0.3,1.6,1.9,1.7,0.5,0.1,0.6,7.6,2023-24
185,Danilo Gallinari,WAS,24,15.2,7.2,2.3,5.2,44.4,0.8,2.5,31.7,1.8,2.1,84.3,0.5,2.5,3.0,1.3,0.3,0.1,0.5,8.1,2023-24
185,Jeff Green,HOU,24,15.7,7.2,2.2,3.9,57.0,0.4,1.1,33.3,2.4,2.8,83.8,0.8,1.4,2.2,0.7,0.2,0.4,0.8,7.8,2023-24
187,Toumani Camara,POR,27,25.0,7.1,2.7,6.4,41.6,0.9,3.0,30.0,0.9,1.4,67.6,2.0,2.7,4.7,1.0,1.0,0.5,1.0,9.1,2023-24
188,Payton Pritchard,BOS,27,20.4,7.1,2.5,6.0,41.7,1.6,4.0,39.4,0.5,0.7,72.2,0.9,2.3,3.1,2.9,0.4,0.1,0.6,9.4,2023-24
189,Gary Harris,ORL,22,22.2,7.1,2.4,5.7,42.4,1.3,4.0,33.0,1.0,1.2,77.8,0.6,1.2,1.8,1.9,0.9,0.2,0.4,7.9,2023-24
190,Jaden Hardy,DAL,23,13.2,7.0,2.5,6.4,39.2,1.1,3.0,37.7,0.8,1.3,65.5,0.3,1.3,1.7,1.5,0.3,0.0,0.7,5.4,2023-24
190,Ochai Agbaji,UTA,29,21.5,7.0,2.7,5.9,45.9,1.3,3.4,37.8,0.3,0.3,80.0,0.9,1.7,2.6,1.1,0.7,0.5,0.7,7.9,2023-24
192,Nickeil Alexander-Walker,MIN,27,23.1,7.0,2.6,6.2,41.3,1.4,4.0,35.8,0.4,0.6,64.7,0.4,1.5,2.0,2.5,0.9,0.7,1.1,8.1,2023-24
193,Cason Wallace,OKC,26,21.7,7.0,2.7,4.8,56.8,1.0,2.2,48.2,0.5,0.6,80.0,0.5,1.7,2.2,1.5,0.5,0.5,0.5,8.8,2023-24
194,Kyle Anderson,MIN,27,23.0,6.8,2.7,5.8,46.2,0.1,0.8,9.5,1.4,2.0,69.1,0.7,2.8,3.5,4.0,0.8,0.8,1.5,10.7,2023-24
195,Christian Wood,LAL,26,18.8,6.8,2.4,5.2,46.3,0.7,2.3,27.9,1.3,2.1,61.8,0.9,4.6,5.5,0.9,0.2,0.6,1.2,9.2,2023-24
196,Terance Mann,LAC,22,26.5,6.6,2.6,6.3,42.0,0.7,2.9,23.4,0.7,1.0,68.2,1.0,2.4,3.4,2.0,0.8,0.4,0.7,8.6,2023-24
197,Quentin Grimes,NYK,25,21.7,6.6,2.4,6.2,38.1,1.8,4.8,36.7,0.1,0.2,40.0,0.2,1.1,1.3,1.1,0.7,0.0,0.5,5.3,2023-24
198,Day'Ron Sharpe,BKN,27,15.9,6.6,2.7,5.0,53.3,0.0,0.2,0.0,1.2,2.0,61.1,2.8,4.3,7.0,1.1,0.4,0.8,1.1,11.6,2023-24
199,Josh Okogie,PHX,23,21.3,6.5,2.0,4.7,41.7,0.6,2.2,27.5,2.0,2.6,76.7,1.7,1.7,3.4,1.2,1.0,0.5,0.8,8.4,2023-24
200,Drew Eubanks,PHX,26,17.1,6.5,2.6,4.3,60.7,0.1,0.1,100,1.2,1.4,83.8,1.4,3.0,4.4,1.2,0.3,1.1,1.2,10.4,2023-24
200,Jonathan Isaac,ORL,20,13.7,6.5,2.3,5.2,44.7,0.7,2.3,28.3,1.3,1.6,78.1,1.2,3.1,4.3,0.3,0.9,1.2,0.6,9.3,2023-24
202,Andre Drummond,CHI,30,13.5,6.4,2.5,4.9,51.4,0.0,0.0,0.0,1.4,2.3,60.9,2.8,4.0,6.8,0.6,1.1,0.4,1.0,11.0,2023-24
202,Chris Boucher,TOR,25,14.2,6.4,2.2,4.8,45.0,0.6,1.9,34.0,1.4,1.9,76.6,1.2,2.6,3.8,0.3,0.3,0.6,0.5,7.9,2023-24
202,Trendon Watford,BKN,20,14.0,6.4,2.7,5.1,52.5,0.3,1.0,31.6,0.8,0.9,88.9,1.0,2.5,3.5,1.9,0.5,0.4,1.1,9.0,2023-24
205,Dyson Daniels,NOP,29,23.7,6.3,2.4,6.0,40.6,0.7,2.6,26.3,0.7,1.0,66.7,1.0,3.2,4.2,2.9,1.4,0.3,1.0,10.1,2023-24
206,Jordan Goodwin,PHX,27,18.3,6.3,2.3,6.1,38.2,0.9,2.8,30.7,0.7,0.9,87.0,1.2,2.8,4.0,2.7,0.7,0.3,0.9,9.1,2023-24
207,Mitchell Robinson,NYK,21,29.2,6.2,2.8,4.7,59.2,0.0,0.0,0.0,0.7,1.8,36.8,5.3,5.0,10.3,0.7,1.5,1.3,1.0,16.0,2023-24
208,Cameron Payne,MIL,28,16.4,6.1,2.3,5.0,44.7,1.1,2.9,37.5,0.6,0.6,94.1,0.0,1.1,1.2,2.5,0.4,0.1,0.8,6.6,2023-24
209,Doug McDermott,SAS,25,16.3,6.1,2.1,4.8,43.3,1.6,3.7,44.1,0.3,0.4,80.0,0.2,1.0,1.2,1.6,0.4,0.1,0.6,6.0,2023-24
210,Julian Strawther,DEN,26,14.0,6.1,2.2,5.6,39.0,1.2,3.6,34.4,0.5,0.7,72.2,0.0,1.5,1.5,1.2,0.5,0.2,0.3,5.6,2023-24
211,Matisse Thybulle,POR,27,23.4,6.1,2.1,4.8,45.0,1.5,3.8,40.2,0.3,0.4,80.0,0.5,1.6,2.1,1.1,1.7,0.9,0.7,8.5,2023-24
211,Torrey Craig,CHI,27,21.2,6.1,2.2,5.1,42.4,1.1,2.8,38.2,0.7,0.9,78.3,1.9,3.0,4.8,1.0,0.6,0.4,0.6,9.2,2023-24
213,Isaiah Hartenstein,NYK,27,20.6,5.9,2.3,4.0,58.9,0.0,0.1,33.3,1.2,1.9,64.7,3.0,3.5,6.5,1.4,0.9,1.0,0.9,12.4,2023-24
213,Peyton Watson,DEN,27,16.7,5.9,2.3,4.5,51.6,0.4,1.2,33.3,0.9,1.3,63.9,0.6,1.9,2.5,1.1,0.6,0.9,0.6,7.7,2023-24
215,Sasha Vezenkov,SAC,23,14.0,5.9,2.2,5.1,43.6,1.2,3.2,37.8,0.3,0.3,75.0,0.8,2.1,2.9,0.5,0.5,0.3,0.3,6.8,2023-24
216,Bismack Biyombo,MEM,21,24.2,5.9,2.5,4.3,57.1,0.0,0.0,0.0,0.9,1.8,50.0,2.1,4.3,6.4,1.8,0.3,1.1,1.2,11.5,2023-24
217,Marcus Morris Sr.,PHI,19,13.7,5.7,2.2,4.4,50.6,1.1,1.9,54.1,0.3,0.3,100,0.4,2.2,2.5,0.6,0.4,0.4,0.3,7.2,2023-24
218,Dean Wade,CLE,22,21.3,5.7,1.9,4.3,43.6,1.5,3.7,40.2,0.5,0.6,78.6,1.2,3.4,4.6,0.9,0.9,0.4,0.5,9.5,2023-24
218,Pat Connaughton,MIL,22,22.0,5.7,2.1,5.0,41.8,1.0,3.3,31.9,0.5,0.7,73.3,0.7,2.9,3.6,2.1,0.5,0.2,0.7,8.4,2023-24
220,Troy Brown Jr.,MIN,23,14.8,5.7,1.9,4.1,45.7,1.1,2.8,38.5,0.8,1.0,86.4,0.6,2.0,2.6,1.1,0.3,0.1,0.6,6.7,2023-24
221,Nicolas Batum,PHI,20,23.9,5.7,2.0,3.7,54.1,1.3,2.8,46.4,0.4,0.6,63.6,0.9,2.8,3.7,2.2,0.6,0.7,0.5,10.4,2023-24
222,Shake Milton,MIN,25,15.3,5.6,1.8,4.9,37.4,0.4,1.8,24.4,1.4,1.7,83.7,0.2,1.4,1.6,1.5,0.6,0.1,1.0,5.1,2023-24
223,Vince Williams Jr.,MEM,19,19.4,5.5,1.7,4.0,42.1,1.2,3.1,37.3,1.0,1.2,82.6,0.8,3.5,4.3,1.4,0.5,0.6,0.8,9.0,2023-24
224,Malachi Flynn,TOR,27,16.3,5.4,1.9,4.7,40.9,0.9,2.7,34.7,0.6,0.8,77.3,0.4,1.8,2.1,2.4,0.6,0.2,1.0,6.7,2023-24
225,Kevon Looney,GSW,27,21.8,5.4,2.3,4.0,56.0,0.0,0.0,0.0,0.9,1.2,69.7,2.6,5.3,7.9,2.7,0.7,0.3,0.9,14.0,2023-24
226,Jevon Carter,CHI,30,14.5,5.4,2.0,5.4,37.7,1.2,3.5,35.6,0.1,0.1,66.7,0.1,0.6,0.7,1.2,0.5,0.3,0.6,4.1,2023-24
227,Nassir Little,PHX,20,16.2,5.4,1.9,3.9,49.4,0.8,2.2,36.4,0.8,0.9,83.3,0.7,2.0,2.7,0.8,0.5,0.4,0.5,7.2,2023-24
228,Bryce McGowens,CHA,21,17.5,5.3,1.8,3.9,45.7,0.8,2.1,38.6,1.0,1.2,76.9,0.3,1.6,1.9,0.8,0.4,0.1,0.6,5.5,2023-24
228,Kris Dunn,UTA,21,14.9,5.3,2.2,4.5,48.9,0.5,1.2,38.5,0.4,0.7,64.3,0.6,1.9,2.4,3.1,0.6,0.1,1.3,7.7,2023-24
230,Keita Bates-Diop,PHX,22,17.6,5.2,1.9,4.7,39.8,0.5,1.8,25.0,1.0,1.5,71.9,0.9,2.2,3.1,0.9,0.5,0.7,0.3,6.9,2023-24
231,Aaron Wiggins,OKC,24,12.4,5.2,2.0,3.3,59.5,0.5,1.0,48.0,0.8,1.0,72.0,0.6,1.6,2.2,0.7,0.5,0.0,0.5,6.4,2023-24
232,Julian Champagnie,SAS,20,12.8,5.1,1.7,4.4,39.1,1.3,3.3,40.0,0.4,0.6,72.7,0.3,1.2,1.5,0.8,0.4,0.7,0.7,4.8,2023-24
233,Jae'Sean Tate,HOU,23,17.8,5.0,2.0,4.3,46.9,0.6,1.7,35.0,0.4,0.6,71.4,1.0,2.3,3.4,1.1,0.8,0.3,0.4,7.8,2023-24
234,MarJon Beauchamp,MIL,24,16.1,5.0,1.9,3.9,48.9,0.8,1.7,43.9,0.5,0.8,61.1,0.6,1.9,2.5,0.8,0.3,0.2,0.8,5.7,2023-24
235,Paul Reed,PHI,27,13.7,5.0,2.2,3.8,57.8,0.1,0.4,36.4,0.5,0.6,81.3,1.8,2.6,4.4,1.1,0.5,0.6,1.0,8.9,2023-24
236,Anthony Black,ORL,25,19.6,5.0,1.9,3.8,50.0,0.4,1.4,31.4,0.7,1.2,56.7,0.6,1.8,2.5,1.7,0.4,0.4,0.9,6.6,2023-24
237,Joe Ingles,ORL,24,18.2,4.9,1.6,3.9,40.4,1.0,2.5,40.7,0.7,0.8,89.5,0.5,2.3,2.8,3.4,0.8,0.1,0.8,8.7,2023-24
238,Robert Covington,PHI,25,17.3,4.7,1.6,3.6,43.8,0.8,2.1,36.5,0.8,1.0,87.5,1.2,2.4,3.5,0.8,1.3,0.7,0.4,8.5,2023-24
239,Keon Ellis,SAC,19,13.8,4.7,1.5,3.4,44.6,1.1,2.9,37.5,0.5,0.8,66.7,0.3,1.2,1.5,1.5,0.6,0.5,0.7,6.0,2023-24
240,JaVale McGee,SAC,23,8.7,4.7,2.1,3.1,67.6,0.0,0.0,0.0,0.5,1.0,50.0,1.1,2.0,3.1,0.4,0.2,0.7,1.0,6.6,2023-24
241,Yuta Watanabe,PHX,19,17.3,4.6,1.5,4.2,35.0,1.2,3.5,34.8,0.5,0.7,69.2,0.5,1.5,2.1,0.5,0.4,0.4,0.7,4.3,2023-24
242,Patrick Beverley,PHI,27,17.2,4.6,1.7,4.0,42.1,0.6,2.0,30.9,0.6,1.0,65.4,0.7,2.0,2.8,2.3,0.5,0.3,0.6,7.2,2023-24
243,Seth Curry,DAL,21,12.0,4.5,1.6,4.0,39.8,0.9,2.2,40.4,0.4,0.5,90.0,0.5,1.0,1.5,0.9,0.5,0.1,0.3,4.8,2023-24
244,Dwight Powell,DAL,24,14.8,4.3,1.3,1.9,71.1,0.0,0.0,100,1.6,2.0,79.6,1.5,1.8,3.2,1.3,0.4,0.4,0.4,8.2,2023-24
245,Max Christie,LAL,22,16.5,4.3,1.6,4.2,38.7,0.6,2.0,30.2,0.5,0.6,71.4,0.1,2.3,2.5,1.0,0.4,0.2,0.7,4.9,2023-24
246,Jaylin Williams,OKC,21,12.8,4.3,1.4,3.6,40.0,0.8,2.2,37.0,0.6,0.7,92.9,0.6,2.8,3.4,1.3,0.3,0.1,0.5,6.8,2023-24
247,Zeke Nnaji,DEN,23,10.7,4.0,1.4,2.9,50.0,0.2,0.5,36.4,1.0,1.5,62.9,1.3,1.2,2.5,0.6,0.2,0.7,0.6,5.3,2023-24
248,Davion Mitchell,SAC,20,14.1,3.9,1.4,4.1,34.6,0.6,2.2,27.3,0.5,0.7,76.9,0.1,0.9,1.0,2.2,0.3,0.1,0.7,3.9,2023-24
249,Chris Duarte,SAC,23,12.4,3.7,1.3,3.5,36.3,0.6,2.0,29.8,0.6,0.8,77.8,0.2,1.5,1.7,0.8,0.5,0.1,0.5,3.9,2023-24
250,Jacob Gilyard,MEM,19,15.7,3.7,1.3,3.1,41.4,1.1,2.6,42.9,0.1,0.1,100,0.3,0.7,1.1,3.1,0.6,0.1,0.7,5.9,2023-24
251,Ish Smith,CHA,20,16.2,3.6,1.8,3.3,53.0,0.1,0.2,50.0,0.0,0.0,0.0,0.3,1.2,1.4,2.8,0.4,0.1,1.3,5.4,2023-24
252,Tristan Thompson,CLE,24,11.1,3.4,1.5,2.1,70.6,0.0,0.0,0.0,0.4,1.0,36.0,1.6,1.9,3.5,0.9,0.3,0.3,0.4,6.7,2023-24
253,John Konchar,MEM,22,18.0,3.4,1.2,3.3,36.1,0.7,2.2,33.3,0.3,0.4,75.0,1.0,3.1,4.1,1.4,0.8,0.7,0.5,7.6,2023-24
254,Charles Bassey,SAS,19,10.8,3.3,1.5,2.1,72.5,0.0,0.1,0.0,0.3,0.3,83.3,1.2,2.8,4.0,1.1,0.4,0.9,0.8,8.3,2023-24
255,JT Thor,CHA,23,15.7,3.2,1.3,3.4,37.2,0.5,1.8,29.3,0.1,0.3,42.9,0.8,1.7,2.5,0.4,0.3,0.4,0.3,4.2,2023-24
256,Jaxson Hayes,LAL,26,10.9,3.1,1.3,1.9,67.3,0.0,0.2,0.0,0.6,1.0,57.7,0.5,1.5,2.0,0.3,0.2,0.4,0.6,4.4,2023-24
257,Andre Jackson Jr.,MIL,22,10.4,2.8,1.1,2.0,58.1,0.5,1.1,45.8,0.0,0.1,50.0,0.8,1.0,1.8,0.9,0.3,0.0,0.5,4.4,2023-24
258,Furkan Korkmaz,PHI,19,6.8,1.9,0.6,1.8,34.3,0.3,1.0,26.3,0.4,0.5,77.8,0.1,0.4,0.5,0.5,0.5,0.0,0.4,1.7,2023-24
259,Cody Zeller,NOP,22,10.0,1.9,0.6,1.8,33.3,0.0,0.0,0.0,0.7,1.2,57.7,1.2,1.9,3.1,1.2,0.2,0.1,0.4,4.4,2023-24
260,Kessler Edwards,SAC,21,5.5,1.6,0.6,1.5,41.9,0.3,0.9,36.8,0.0,0.1,50.0,0.1,0.7,0.9,0.3,0.1,0.1,0.0,2.0,2023-24
